virus,evidence,P,paths,residuals,VirusClass,VirusOrder,VirusFamily,VirusGenus
Jaagsiekte sheep retrovirus,3.462647438330449,0.9696060841499099,160,3.8971473804978354,Revtraviricetes,Ortervirales,Retroviridae,Betaretrovirus
Pipapillomavirus 2,1.8465356819373602,0.8637198390373215,88,3.8956319510284194,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Pipapillomavirus
Equine infectious anemia virus,4.76082674124965,0.9915140960884589,126,3.3562754040898057,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus
African horse sickness virus,14.849168191789847,0.9999996442965815,263,3.0132461629701726,Resentoviricetes,Reovirales,Reoviridae,Orbivirus
Phipapillomavirus 1,2.2924461903714257,0.9082495005242104,41,2.9267062664408083,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Phipapillomavirus
Small ruminant morbillivirus,16.076427620427832,0.9999998957451781,220,2.759401781438604,Monjiviricetes,Mononegavirales,Paramyxoviridae,Morbillivirus
Ovine mastadenovirus A,10.37706005877812,0.9999688622982155,123,2.5931556953549584,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus
Suid gammaherpesvirus 3,6.203247793525273,0.9979812335056993,65,2.4433676850611254,Herviviricetes,Herpesvirales,Herpesviridae,Macavirus
Murine respirovirus,22.439738042938426,0.9999999998203011,215,2.420118473849707,Monjiviricetes,Mononegavirales,Paramyxoviridae,Respirovirus
Wad Medani virus,35.5912986756591,0.9999999999999996,323,2.389635985270211,Resentoviricetes,Reovirales,Reoviridae,Orbivirus
Bovine gammaherpesvirus 6,11.410511331910811,0.999988921701022,102,2.3158992897948143,Herviviricetes,Herpesvirales,Herpesviridae,Macavirus
Royal Farm virus,14.763073639192797,0.999999612315521,127,2.290794367501311,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus
Bovine mastadenovirus B,9.8853687883054,0.9999490883968777,85,2.2696628810960626,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus
Epizootic hemorrhagic disease virus,35.40451782115397,0.9999999999999996,258,2.169933842121961,Resentoviricetes,Reovirales,Reoviridae,Orbivirus
