sp,step,count,score,phylodist
Abrothrix longipilis,initial,1,0.0024875621890547263,136.8315106287
Abrothrix longipilis,initial,1,0.00967741935483871,136.8315106287
Abrothrix olivaceus,initial,1,0.0024875621890547263,136.8315094005
Abrothrix olivaceus,initial,1,0.00967741935483871,136.8315094005
Abrothrix sanborni,initial,1,0.0024875621890547263,136.8315116111
Abrothrix sanborni,initial,1,0.00967741935483871,136.8315116111
Acinonyx jubatus,initial,6,0.014598540145985401,144.2394242247
Acinonyx jubatus,initial,6,0.21185185185185185,144.2394242247
Acomys cahirinus,initial,2,0.004975124378109453,136.8315086402
Acomys cahirinus,initial,2,0.15481832543443919,136.8315086402
Acomys dimidiatus,initial,1,0.0024875621890547263,136.8315087277
Acomys dimidiatus,initial,1,0.10776545166402536,136.8315087277
Addax nasomaculatus,initial,1,0.0024813895781637717,144.23939855791
Addax nasomaculatus,initial,1,0.062402496099843996,144.23939855791
Aepyceros melampus,initial,4,0.009708737864077669,144.2393962839
Aepyceros melampus,initial,4,0.15337423312883436,144.2393962839
Aethomys kaiseri,initial,1,0.0024813895781637717,136.8315045918
Aethomys kaiseri,initial,1,0.12202852614896989,136.8315045918
Ailuropoda melanoleuca,initial,2,0.0049504950495049506,144.239418918
Ailuropoda melanoleuca,initial,2,0.10832025117739404,144.239418918
Ailurus fulgens,initial,3,0.007444168734491315,144.2394183342
Ailurus fulgens,initial,3,0.16485225505443235,144.2394183342
Akodon azarae,initial,4,0.009925558312655087,136.83150686981
Akodon azarae,initial,4,0.08667736757624397,136.83150686981
Akodon cursor,initial,1,0.0024875621890547263,136.8315060102
Akodon cursor,initial,1,0.00967741935483871,136.8315060102
Akodon montensis,initial,3,0.007462686567164179,136.8315067471
Akodon montensis,initial,3,0.09904153354632587,136.8315067471
Akodon paranaensis,initial,1,0.0024875621890547263,136.8315069931
Akodon paranaensis,initial,1,0.00967741935483871,136.8315069931
Akodon simulator,initial,1,0.0024875621890547263,136.83150674936
Akodon simulator,initial,1,0.0016129032258064516,136.83150674936
