virus,rank,clover,trefle,clover_nohuman,trefle_nohuman
Acara orthobunyavirus,1,0.02816485667729109,-0.42206353309949,0.027908555651008228,-0.41701542121651103
Acara orthobunyavirus,2,-0.016297362821157124,0.0392504230700251,-0.04033451015210874,0.0353495564862994
Acara orthobunyavirus,3,0.025615147422529155,-0.6634184561199147,0.016162826464743717,-0.6617152479960045
Acara orthobunyavirus,4,-0.026921699449673972,0.385925119314863,-0.061103808452041435,0.38703069205763474
Acara orthobunyavirus,5,-0.06013083468497823,-0.285670757208617,-0.027785944400897093,-0.27744822713776673
Acara orthobunyavirus,6,0.01311524875398915,0.050744742012426285,0.04077900666619342,0.061490551862762664
Acara orthobunyavirus,7,-0.05024773566173885,-0.2440572926186868,-0.11763467659905859,-0.25585750177720323
Acara orthobunyavirus,8,0.11206996044179204,0.010599636925470701,0.09543478470493075,0.019397423379420214
Acara orthobunyavirus,9,-0.09785817550276692,-0.15194789568075182,-0.0831279679988579,-0.1629462534012474
Acara orthobunyavirus,10,0.08516499869611144,0.010826762162351152,0.03130817334083357,0.06375407906555963
Acara orthobunyavirus,11,-0.030812988612168548,0.16703980981417685,-0.08216681160429877,-0.14402135178869901
Acara orthobunyavirus,12,0.0851131541412499,-0.14009146674211906,0.010504164664574293,0.13330063466616252
Adelaide River ephemerovirus,1,0.05880271679615154,-0.10299018254381336,0.07286723708418125,-0.10361833767210599
Adelaide River ephemerovirus,2,0.04050081216097468,-0.04764664178988144,0.03781001887782207,-0.04806377685350244
Adelaide River ephemerovirus,3,-0.03869956726475881,0.031055403583887572,0.02659083298161777,0.031703293341117364
Adelaide River ephemerovirus,4,-0.023242119758703963,0.05500206141924671,-0.05686378099498163,0.05549920253408901
Adelaide River ephemerovirus,5,-0.03604933665376829,-0.08562634355993867,0.05095037837176055,-0.07903054518292674
Adelaide River ephemerovirus,6,-0.06127714175735971,0.0008170031531383025,-0.08894131929068563,0.007275444933395268
Adelaide River ephemerovirus,7,0.10104071667970549,-0.110080740829863,0.030659425005161736,-0.11012382790851612
Adelaide River ephemerovirus,8,-0.02172906059113284,0.10101037471694665,0.010625502325222084,0.10212935444395638
Adelaide River ephemerovirus,9,-0.02898883364711852,-0.12103526993263071,0.011815495829715522,-0.12000618970325656
Adelaide River ephemerovirus,10,-0.009189525970980184,-0.07714000332717873,0.08614921761337103,0.1143011118288243
Adelaide River ephemerovirus,11,-0.08469739908671958,0.0009659297465436496,-0.020850532525228803,0.06407745061938361
Adelaide River ephemerovirus,12,0.03157579288162746,0.11393473593268758,0.04934230936649269,-0.09287249875790994
Adeno-associated dependoparvovirus A,1,0.3130053158613194,-0.8423379267074544,0.22176085390844064,-0.8403958337251505
Adeno-associated dependoparvovirus A,2,-0.16133770576616618,0.7353267039869951,-0.04499231862867699,0.7382219502353453
Adeno-associated dependoparvovirus A,3,-0.12793115611543354,0.487095770115223,0.3654498904154221,0.48625576687517674
Adeno-associated dependoparvovirus A,4,0.22161117925397492,-0.3441112648149106,0.026524276326237033,-0.34387703353168214
Adeno-associated dependoparvovirus A,5,-0.07039249917236645,-0.11334198105936605,0.09039376657997866,-0.11567427845879352
Adeno-associated dependoparvovirus A,6,-0.1105264073371006,-0.5187817884051914,-0.18134890915829938,-0.5147216104167955
Adeno-associated dependoparvovirus A,7,0.19306885209610486,-0.14030407813871146,0.06091068612634962,-0.1957934699937275
Adeno-associated dependoparvovirus A,8,-0.04813110199259788,0.21526039071835582,0.03578031120620207,0.23526291166730182
Adeno-associated dependoparvovirus A,9,-0.0481320269664213,-0.37031858636950127,0.1913545368676423,-0.4275541908745474
Adeno-associated dependoparvovirus A,10,-0.19161707975756323,0.5147668232793452,0.018342581634678196,-0.4294746992225731
Adeno-associated dependoparvovirus A,11,-0.020888798507460952,-0.01955689959880668,-0.047094947783349224,0.00454510307634122
Adeno-associated dependoparvovirus A,12,0.02158588220144299,0.360961287323465,-0.14019030398442542,-0.37630765278490713
Adeno-associated dependoparvovirus B,1,0.10902477451648206,-0.05207985168077672,5.418936853667771e-16,-0.0438735888239647
Adeno-associated dependoparvovirus B,2,-0.1448783273887519,0.032630003844120584,9.03394341550796e-16,0.02555551770156195
Adeno-associated dependoparvovirus B,3,-0.057715510855160884,-0.03948370837992391,1.0644239892035346e-16,-0.03712347152571528
Adeno-associated dependoparvovirus B,4,-0.05544449715968846,0.03200015523508633,6.116737367253061e-16,0.03316314497888361
Adeno-associated dependoparvovirus B,5,0.10045383214487066,-0.0888287595092284,3.9262423376702824e-16,-0.06484780484884037
